Rank,Word,Occurrences,Duolingo_Words,JLPT_Words,JLPT_Level,Definitions,JLPT_Levels,Final_JLPT_Level
139.0,賞,1234773.0,1,1,N3,"['prize', 'award']",,N3
140.0,なく,1226315.0,0,0,,"['to make sound (of an animal)', 'to call', 'to cry', 'to whine', 'to sing', 'to chirp']",,
141.0,なら,1223724.0,0,1,N4,"['if', 'in case', 'if it is the case that', 'if it is true that']",,N4
142.0,自己,1210226.0,0,1,N1,"['self', 'oneself']",,N1
143.0,話,1195373.0,1,1,N5,"['talk', 'speech', 'chat', 'conversation']",,N5
144.0,ず,1187563.0,1,0,,"['drawing', 'picture', 'diagram', 'figure', 'illustration', 'chart', 'graph', 'map']",,
145.0,により,1173356.0,0,0,,"['according to', 'by (means of)', 'due to', 'because of']",,
146.0,分,1161388.0,1,1,N3,"['part', 'portion', 'share']",,N3
147.0,前,1157920.0,1,1,N5,"['last (i.e. immediately preceding)', 'previous', 'ex-', 'former']",,N5
148.0,代表,1152408.0,0,1,N3,"['representation', 'representative', 'delegate', 'delegation']",,N3
149.0,たら,1150255.0,0,0,,"['if', 'when', 'after']",,
150.0,せ,1148822.0,1,0,,['back'],,
151.0,化,1142394.0,0,0,,"['change to ...', 'becoming ...', 'making into ...', '-ization', '-ification']",,
152.0,平成,1140029.0,0,0,,['Heisei era (1989.1.8-2019.4.30)'],,
153.0,に関する,1135681.0,0,0,,"['as far as ... is concerned', 'so far as ... can tell']",,
154.0,できる,1127693.0,0,1,N3,"['to be able to do', 'to be possible', 'to be permitted (to do)']",,N3
155.0,出身,1116960.0,0,1,N3,"[""one's origin (e.g. city, country, parentage, school)""]",,N3
156.0,仮,1116740.0,0,1,N1,"['temporary', 'provisional', 'interim', 'tentative']",,N1
157.0,スタイル,1116515.0,0,0,,"[""(one's) figure"", 'build', 'physique', 'shape']",,
158.0,ガイドライン,1116135.0,0,0,,['guideline'],,
159.0,思い,1102001.0,0,0,,['thought'],,
160.0,方,1095831.0,1,1,N5,"['direction', 'way', 'side', 'area (in a particular direction)']",,N5
161.0,外部,1087057.0,0,1,N2,"['outside (e.g. of a building)', 'exterior']",,N2
162.0,数,1082809.0,1,1,N3,"['several', 'a few', 'a number of']",,N3
163.0,五,1082067.0,1,1,N5,"['five', '5']",,N5
164.0,内容,1080586.0,0,1,N3,"['contents', 'content', 'substance', 'matter', 'detail', 'import']",,N3
165.0,児童,1076772.0,0,1,N2,"['children', 'juvenile']",,N2
166.0,関連,1072424.0,0,1,N3,"['relation', 'connection', 'relevance']",,N3
167.0,ヘルプ,1072012.0,0,0,,['help'],,
168.0,現在,1070173.0,0,1,N3,"['the present', 'present time', 'now']",,N3
169.0,時代,1069553.0,0,1,N4,"['period', 'epoch', 'era', 'age']",,N4
170.0,元,1068655.0,0,1,N3,"['origin', 'source', 'beginning']",,N3
171.0,それ,1057447.0,1,1,N3,"['that', 'it']",,N3
172.0,研究,1049423.0,0,1,N4,"['research', 'study', 'investigation']",,N4
173.0,新,1046962.0,1,1,N1,"['new', 'neo-']",,N1
174.0,注意,1046053.0,0,1,N4,"['attention', 'notice', 'heed']",,N4
175.0,他,1045860.0,0,1,N3,"['another place', 'some other place', 'somewhere else', 'outside']",,N3
176.0,金,1045552.0,1,1,N3,['gold (Au)'],,N3
177.0,局,1044486.0,1,1,N3,"['bureau', 'department']",,N3
178.0,機能,1041465.0,1,1,N3,"['function', 'facility', 'faculty', 'feature']",,N3
179.0,あなた,1036602.0,0,0,,['you'],,
180.0,除去,1035310.0,0,0,,"['removal', 'getting rid of']",,
181.0,鉄道,1027993.0,0,1,N3,"['railroad', 'railway', 'rail transport']",,N3
182.0,項目,1023820.0,0,1,N2,"['item', 'heading', 'category', 'clause']",,N2
183.0,】,1023454.0,0,0,,[],,
184.0,【,1022237.0,0,0,,"['social relationship', 'social context']",,
185.0,目,1005563.0,1,1,N5,"['eye', 'eyeball']",,N5
186.0,とき,1003047.0,0,0,,"['time', 'hour', 'moment']",,
187.0,用,1001072.0,0,1,N4,"['business', 'task', 'errand', 'engagement']",,N4
188.0,曲,992390.0,1,1,N1,"['composition', 'piece of music', 'song', 'track (on a record)']",,N1
189.0,社,988200.0,0,1,N1,['(Shinto) shrine'],,N1
190.0,使い方,987547.0,0,0,,"['way of using (something)', 'way to use', 'how to use', 'usage', 'use']",,
191.0,必要,973655.0,0,1,N4,"['necessary', 'needed', 'essential', 'indispensable']",,N4
192.0,説明,971572.0,0,1,N4,"['explanation', 'exposition', 'description', 'account', 'caption', 'legend']",,N4
193.0,基本,966733.0,0,1,N3,"['basics', 'fundamentals', 'basis', 'foundation']",,N3
194.0,によって,964460.0,0,0,,"['according to', 'by (means of)', 'due to', 'because of']",,
195.0,大学,957096.0,1,1,N5,"['university', 'college']",,N5
196.0,変更,938353.0,0,1,N3,"['change', 'modification', 'alteration', 'revision', 'amendment']",,N3
197.0,水,926059.0,1,1,N5,['water (esp. cool or cold)'],,N5
198.0,新しい,921207.0,1,1,N5,"['new', 'novel', 'fresh', 'recent', 'latest', 'up-to-date', 'modern']",,N5
199.0,チーム,920913.0,1,0,,['team'],,
200.0,執筆,916280.0,0,1,N2,"['writing', 'authoring']",,N2
201.0,道,916124.0,1,1,N5,"['road', 'path', 'street', 'lane', 'passage']",,N5
202.0,間,911491.0,1,1,N4,"['space (between)', 'gap', 'interval', 'distance', 'stretch']",,N4
203.0,型,909909.0,0,1,N3,"['type', 'style', 'model', 'pattern']",,N3
204.0,でしょ,908169.0,0,0,,"['it seems', 'I think', 'I guess', 'I wonder']",,
205.0,サッカー,896912.0,1,0,,"['soccer', '(association) football']",,
206.0,大会,895408.0,0,1,N3,"['mass meeting', 'convention', 'rally', 'conference', 'assembly', 'gathering']",,N3
207.0,ガイドブック,892842.0,0,0,,['guidebook'],,
208.0,地,882129.0,1,1,N3,"['earth', 'ground', 'land', 'soil']",,N3
209.0,のみ,881973.0,0,0,,"['only', 'nothing but']",,
210.0,み,877495.0,1,0,,"['fruit', 'nut']",,
211.0,書か,877199.0,0,0,,"['bookshelf', 'bookcase']",,
212.0,べき,871249.0,0,0,,"['should', 'must', 'ought to']",,
213.0,たり,869955.0,0,0,,"['-ing and -ing (e.g. ""coming and going"")']",,
214.0,ブロック,868784.0,0,0,,"['block (solid piece of material)', 'chunk (e.g. of meat)']",,
215.0,私,867807.0,1,1,N5,"['I', 'me']",,N5
216.0,戦,867139.0,0,1,N1,"['war', 'battle', 'campaign', 'fight']",,N1
217.0,公式,866192.0,0,1,N2,"['official', 'formal']",,N2
218.0,出演,857571.0,0,1,N1,"['appearance (in a film, play, TV show, etc.)', 'performance']",,N1
219.0,可能,852548.0,1,1,N3,"['possible', 'potential', 'practicable', 'feasible']",,N3
220.0,登場,850347.0,0,1,N2,"['entrance (on the stage)', 'appearance (in a book, film, etc.)']",,N2
221.0,等,848832.0,0,1,N3,"['et cetera', 'etc.', 'and the like', 'and so forth']",,N3
222.0,系,847282.0,1,1,N1,"['system', 'lineage', 'group']",,N1
223.0,特別,843537.0,1,1,N4,"['special', 'particular', 'extraordinary', 'exceptional', 'especial']",,N4
224.0,監督,840711.0,1,1,N3,"['supervision', 'control', 'superintendence', 'direction']",,N3
225.0,氏,836560.0,1,1,N3,"['Mr', 'Mrs', 'Ms', 'Miss']",,N3
226.0,次,834502.0,1,1,N5,"['next', 'following', 'subsequent']",,N5
227.0,だっ,825961.0,0,0,,['derailment'],,
228.0,高等,824560.0,0,1,N2,"['high class', 'high grade']",,N2
229.0,時間,824252.0,1,1,N5,['time'],,N5
230.0,き,821769.0,1,0,,"['tree', 'shrub', 'bush']",,
231.0,〜,819632.0,0,0,,"['tilde', 'wave dash']",,
232.0,内,809599.0,1,1,N3,"['inside', 'within']",,N3
233.0,音楽,807338.0,1,1,N5,['music'],,N5
234.0,歴史,806029.0,0,1,N4,['history'],,N4
235.0,所,804117.0,1,1,N5,"['place', 'spot', 'scene', 'site']",,N5
236.0,発売,803801.0,0,1,N2,"['sale', 'offering for sale', 'release (for sale)', 'launch (product)']",,N2
237.0,だけ,797767.0,0,0,,"['only', 'just', 'merely', 'simply', 'no more than', 'nothing but', 'alone']",,
238.0,語,797671.0,1,1,N3,"['word', 'term']",,N3
239.0,なかっ,796984.0,0,0,,"['to forget something ever existed', ""to pretend something didn't happen"", 'to put something behind one', 'to forgive (something)']",,
240.0,ボックス,794355.0,0,0,,"['box', 'container', 'bin']",,
241.0,生徒,793229.0,1,1,N5,"['pupil', 'student', 'schoolchild']",,N5
242.0,学,777650.0,0,1,N3,"['learning', 'scholarship', 'study', 'erudition', 'knowledge', 'education']",,N3
243.0,記録,777453.0,0,1,N3,"['record', 'document', 'minutes', 'recording', 'putting on record', 'keeping a record (of)', 'writing down']",,N3
244.0,軍,771854.0,0,1,N3,"['army', 'armed forces', 'troops']",,N3
245.0,万,769695.0,1,1,N5,"['10,000', 'ten thousand']",,N5
246.0,！,765820.0,0,0,,[],,
247.0,場,765704.0,1,1,N3,"['place', 'spot', 'space']",,N3
248.0,全,763556.0,0,1,N3,"['all', 'whole', 'entire', 'complete', 'total', 'pan-']",,N3
249.0,別,761971.0,1,1,N4,"['distinction', 'difference', 'discrimination']",,N4
250.0,初,757600.0,0,1,N1,"['first', 'new']",,N1
251.0,シリーズ,757096.0,0,0,,['series'],,
252.0,土,756662.0,1,1,N3,"['earth', 'soil', 'dirt', 'clay', 'mud']",,N3
253.0,木,753039.0,1,1,N5,"['tree', 'shrub', 'bush']",,N5
254.0,総合,750709.0,0,1,N1,"['synthesis', 'combination', 'integration', 'putting together']",,N1
255.0,何,749709.0,1,1,N5,['what'],,N5
256.0,行っ,748926.0,0,0,,"['have a good day', 'take care', 'see you']",,
257.0,ゲーム,748250.0,1,0,,['game'],,
258.0,サイト,747011.0,0,0,,['site'],,
259.0,関係,746953.0,1,1,N4,"['relation', 'relationship', 'connection']",,N4
260.0,られる,744523.0,0,0,,"['indicates passive voice (incl. the ""suffering passive"")']",,
261.0,お願い,743466.0,0,0,,"['request', 'favour (to ask)', 'wish']",,
262.0,同じ,742226.0,1,1,N5,"['same', 'identical', 'equal', 'alike', 'equivalent']",,N5
263.0,サンド,737968.0,0,0,,['sandwich'],,
264.0,つ,733087.0,1,0,,['indicates two contrasting actions'],,
265.0,考え,729892.0,1,1,N3,"['thinking', 'thought', 'view', 'opinion', 'concept']",,N3
266.0,見,727968.0,1,0,,"['looking', 'viewing']",,
267.0,火,725205.0,1,1,N4,"['fire', 'flame', 'blaze']",,N4
268.0,アルバム,722260.0,1,0,,['album'],,
269.0,点,716209.0,1,1,N4,"['dot', 'spot', 'point', 'speck', 'mark']",,N4
270.0,機,713820.0,1,1,N1,"['chance', 'opportunity']",,N1
271.0,アニメ,713094.0,1,0,,"['animation', 'animated film', 'animated cartoon', 'anime']",,
272.0,国際,709712.0,0,1,N4,['international'],,N4
273.0,法,709688.0,0,1,N3,"['law', 'act', 'principle']",,N3
274.0,ドラマ,709588.0,1,0,,"['(non-documentary) television series', 'TV drama', 'teledrama', 'play']",,
275.0,大阪,709142.0,1,0,,"['Osaka (city, prefecture)']",,
276.0,ただし,707676.0,0,0,,"['but', 'however', 'provided that']",,
277.0,行わ,705412.0,0,0,,"['to be done', 'to be practiced', 'to be practised', 'to take place', 'to be held', 'to be prevalent', 'to be in fashion', 'to be in vogue', 'to be current', 'to come into use']",,
278.0,たち,704547.0,1,0,,['pluralizing suffix (esp. for people and animals; formerly honorific)'],,
279.0,柱,703296.0,0,1,N1,"['pillar', 'post']",,N1
280.0,マニュアル,694919.0,0,0,,['(instruction) manual'],,
281.0,リーグ,692638.0,0,0,,['league'],,
282.0,コメント,692238.0,0,0,,['comment'],,
283.0,教育,685733.0,1,1,N4,"['education', 'schooling', 'training', 'instruction', 'teaching', 'upbringing']",,N4
284.0,野球,685032.0,1,0,,['baseball'],,
285.0,方々,683949.0,0,1,N3,"['people', '(all) persons', 'everyone', 'ladies and gentlemen']",,N3
286.0,確認,682216.0,1,1,N3,"['confirmation', 'verification', 'validation', 'review', 'check', 'affirmation', 'identification']",,N3
287.0,役,682188.0,1,1,N3,"['role', 'assignment', 'responsibility', 'duty', 'function', 'job', 'service']",,N3
288.0,株式会社,681805.0,0,0,,"['stock company', 'corporation', 'kabushiki kaisha', 'KK']",,
289.0,同,681494.0,0,1,N1,"['the same', 'the said']",,N1
290.0,こんにちは,679434.0,1,0,,"['hello', 'good day', 'good afternoon']",,
291.0,書く,676634.0,1,1,N5,"['to write', 'to compose', 'to pen']",,N5
292.0,長,676397.0,1,1,N1,"['height', 'stature']",,N1
293.0,所属,674695.0,0,1,N1,"['belonging to (a group, organization, etc.)', 'affiliation (with)', 'being attached to', 'being under the control of', 'serving (in the military, congress, etc.)']",,N1
294.0,開始,674579.0,0,1,N3,"['start', 'commencement', 'beginning', 'initiation']",,N3
295.0,主,673022.0,1,0,,"['head (of a household)', 'proprietor (of a store)', 'proprietress', 'landlord', 'landlady']",,
296.0,形,672643.0,1,1,N4,"['form', 'shape', 'figure']",,N4
297.0,アメリカ,672212.0,1,0,,"['(United States of) America', 'United States', 'US', 'USA']",,
298.0,＝,662185.0,0,0,,[],,
299.0,アカウント,661509.0,0,0,,['account'],,
300.0,ここ,661470.0,1,1,N3,"['individual', 'one by one', 'separate', 'each']",,N3
301.0,選手権,661402.0,0,0,,"['championship', 'title (of champion)']",,
302.0,出場,660288.0,0,0,,"['participation (in a tournament, match, race, etc.)', 'entry', 'taking part (in)', 'competing (in)', 'appearance']",,
303.0,たい,657404.0,1,0,,"['sea bream (esp. Pagrus major)', 'porgy']",,
304.0,存在,655937.0,1,1,N3,"['existence', 'being', 'presence']",,N3
305.0,十,653706.0,1,1,N5,"['ten', '10']",,N5
306.0,記述,650283.0,0,1,N1,"['description', 'account']",,N1
307.0,際,649642.0,1,1,N3,"['occasion', 'time', 'circumstances', '(in) case (of)', 'when']",,N3
308.0,参考,647877.0,0,1,N3,"['reference', 'consultation']",,N3
309.0,事典,643658.0,0,0,,['encyclopedia'],,
310.0,ら,643538.0,1,0,,['pluralizing suffix'],,
311.0,史,642199.0,0,0,,['history'],,
312.0,以上,636276.0,0,1,N4,"['not less than ...', '... and over', '... and above', '... and upwards', '... or more']",,N4
313.0,以下,631691.0,0,1,N4,"['not exceeding ...', 'not more than ...', '... and under', '... and below', '... or fewer']",,N4
314.0,作,629953.0,0,1,N1,"['work (e.g. of art)', 'piece', 'production']",,N1
315.0,競技,629309.0,0,1,N3,"['game', 'match', 'contest', 'competition', 'sport', '(sporting) event']",,N3
316.0,方法,627686.0,0,1,N3,"['method', 'way', 'manner', 'process', 'procedure', 'means', 'measure']",,N3
317.0,結果,625995.0,0,1,N3,"['result', 'consequence', 'outcome', 'effect']",,N3
318.0,世,624346.0,0,1,N1,"['world', 'society', 'public']",,N1
319.0,続け,623782.0,0,0,,"['to continue', 'to keep up', 'to keep on']",,
320.0,における,623250.0,0,0,,"['in', 'at', 'on', 'as for', 'regarding', 'with regards to']",,
321.0,歳,619648.0,1,1,N1,['year'],,N1
322.0,システム,619633.0,0,0,,['system'],,
323.0,および,616899.0,0,1,N2,"['and', 'as well as']",,N2
324.0,科,614459.0,0,1,N1,"['department', 'section', 'faculty', 'school', 'arm']",,N1
325.0,権,611356.0,0,1,N1,['right (to do something)'],,N1
326.0,参加,609940.0,0,1,N3,"['participation', 'joining', 'entry']",,N3
327.0,車,606502.0,1,1,N5,"['car', 'automobile', 'vehicle']",,N5
328.0,地域,606133.0,0,1,N3,"['area', 'region', 'district', 'locality']",,N3
329.0,委員,605962.0,0,1,N3,['committee member'],,N3
330.0,その後,601752.0,0,0,,"['after that', 'afterwards', 'thereafter']",,
331.0,高,599897.0,1,1,N1,"['quantity', 'amount', 'volume', 'number', 'amount of money']",,N1
332.0,クラブ,599358.0,0,0,,"['club', 'fraternity', 'sorority', 'clubhouse']",,
333.0,事業,596652.0,0,1,N1,"['business', 'enterprise', 'venture', '(commercial) activity', '(business) operation', 'industry']",,N1
334.0,都,596007.0,0,1,N4,"[""capital (esp. Kyoto, Japan's former capital)"", 'seat of government']",,N4
335.0,今後,595730.0,0,1,N3,"['from now on', 'hereafter']",,N3
336.0,名前,595558.0,1,1,N5,['name'],,N5
337.0,よく,594862.0,1,0,,"['nicely', 'properly', 'well', 'skillfully', 'skilfully']",,
338.0,式,594500.0,1,1,N3,"['way', 'style', 'fashion', 'method', 'system', 'form', 'type']",,N3
339.0,小学校,591978.0,0,1,N4,"['primary school', 'elementary school', 'grade school']",,N4
340.0,度,591236.0,1,1,N3,"['time (three times, each time, etc.)', 'times']",,N3
341.0,期,590909.0,0,1,N1,"['period', 'time']",,N1
