Rank,Word,Occurrences,Duolingo_Words,JLPT_Words,JLPT_Level
335,今後,595730,0,1,N3
336,名前,595558,1,1,N5
337,よく,594862,1,0,
338,式,594500,1,1,N3
339,小学校,591978,0,1,N4
340,度,591236,1,1,N3
341,期,590909,0,1,N1
342,作曲,589187,0,1,N3
343,巻,588853,0,1,N1
344,発言,586350,0,1,N1
345,集,586167,0,0,
346,和書,585393,0,0,
347,王,584734,1,1,N3
348,ソート,584026,0,0,
349,バス,583015,1,0,
350,一部,582160,0,1,N1
351,しかし,580965,0,0,
352,？,573047,0,0,
353,事,572532,1,1,N3
354,多く,567564,0,0,
355,にて,565390,0,0,
356,開催,564384,0,1,N1
357,開発,562398,0,1,N1
358,デフォルト,561779,0,0,
359,下さい,561153,0,0,
360,なお,559728,0,0,
361,百科,559163,0,0,
362,自由,554212,0,1,N4
363,会社,553435,1,1,N5
364,御,553360,0,1,N3
365,作業,552723,0,1,N3
366,読み,551824,0,1,N3
367,下,551614,1,1,N5
368,編,551350,0,1,N1
369,南,551139,1,1,N5
370,事件,549811,1,1,N3
371,受け,549807,0,0,
372,に関して,549609,0,0,
373,世紀,549476,1,1,N3
374,カテゴリ,549456,0,0,
375,過去,547095,1,1,N3
376,代,546637,1,1,N1
377,しまっ,544564,0,0,
378,表記,543170,0,0,
379,中央,541911,0,1,N3
380,優勝,540879,0,1,N3
381,以降,539342,0,1,N2
382,明治,538378,0,0,
383,各,538247,1,1,N1
384,ね,535958,1,1,N3
385,選挙,535727,1,1,N1
386,出版,535173,0,1,N3
387,北,533970,1,1,N5
388,文章,533628,0,1,N5
389,発表,532277,0,1,N3
390,中国,529661,0,0,
391,アメリカ合衆国,529651,0,0,
392,年度,529369,0,1,N2
393,…,529310,0,0,
394,→,525381,0,0,
395,円,520049,1,1,N3
396,協会,518793,0,1,N1
397,市立,516581,0,0,
398,旧,515842,0,1,N3
399,英語,515081,1,1,N5
400,機関,515035,0,1,N3
401,収録,514809,0,0,
402,スポーツ,513384,1,0,
403,級,512110,0,1,N3
404,す,511960,0,0,
405,約,511484,1,1,N3
406,担当,511124,0,1,N3
407,及び,508332,0,1,N1
408,東,508320,1,1,N5
409,一般,506905,0,1,N3
410,ドイツ,506786,1,0,
411,著作,505941,0,0,
412,当時,505902,0,1,N3
413,自分,505543,0,1,N5
414,文化,502755,0,1,N4
415,指定,499556,0,1,N2
416,地方,498062,0,1,N3
417,物,497971,1,1,N5
418,参照,497873,0,1,N1
419,自身,497081,0,1,N3
420,年生,495789,0,1,N1
421,管理,495043,0,1,N3
422,制作,494160,0,1,N2
423,学生,493705,1,1,N5
424,使っ,493016,0,0,
425,企業,492404,0,1,N3
426,終了,492105,0,1,N2
427,都市,491345,0,1,N3
428,すれ,491261,0,0,
429,名称,491143,0,1,N1
430,秒,489403,1,1,N3
431,書き,488636,0,0,
432,社会,486777,0,1,N4
433,廃止,485909,0,1,N1
434,提案,485664,0,1,N3
435,グループ,480843,0,0,
436,漫画,480518,1,1,N4
437,センター,480391,1,0,
438,女子,476368,0,1,N3
439,決定,473140,0,1,N3
440,女性,472380,1,1,N4
441,よ,469757,1,0,
442,四,469625,1,1,N5
443,子,464650,1,1,N4
444,京都,464508,1,0,
445,理由,463499,1,1,N4
446,中学校,462976,0,1,N4
447,番号,462792,0,1,N5
448,×,461370,0,0,
449,ほか,458904,0,0,
450,記載,457813,0,1,N1
451,彼,456718,1,1,N4
452,年代,456385,0,1,N3
453,設立,456138,0,1,N1
454,にとって,455273,0,0,
455,概要,454583,0,0,
456,番,454213,0,1,N3
457,試合,453934,0,1,N4
458,フランス,453694,1,0,
459,まず,451928,0,0,
460,交通,451520,1,1,N4
461,オリンピック,450516,1,0,
462,禁止,449936,0,1,N3
463,頁,449620,0,0,
464,新規,448834,0,0,
465,記念,448499,0,1,N3
466,無視,448026,1,1,N3
467,声,447581,1,1,N5
468,シングル,447121,0,0,
469,他人,445797,0,1,N3
470,部分,445356,0,1,N3
471,意見,444924,0,1,N4
472,スペース,444633,0,0,
473,すぐ,444603,0,0,
474,でも,443612,0,1,N3
475,色,443419,1,1,N5
476,イギリス,443144,1,0,
477,丁目,441603,0,1,N1
478,政治,441330,1,1,N4
479,プロ,439946,0,0,
480,文献,439897,0,1,N2
481,その他,439726,0,0,
482,設置,439110,0,1,N1
483,艦,438890,0,0,
484,施設,438625,0,1,N1
485,詳しく,437996,0,0,
486,没,437781,0,0,
487,公開,437137,0,1,N1
488,なさ,436860,0,0,
489,力,436859,1,1,N4
490,ラジオ,435090,1,0,
491,意味,432759,1,1,N5
492,島,432104,1,1,N4
493,通り,432029,1,1,N3
494,もし,431653,0,0,
495,画面,430834,1,0,
496,製作,430132,0,1,N2
497,店,429800,1,1,N5
498,テンプレート,429436,0,0,
499,どう,429001,1,1,N3
500,に対して,428573,0,0,
501,節,423815,0,1,N3
502,修正,423379,0,1,N3
503,名古屋,423345,0,0,
504,全国,422053,0,1,N3
505,ながら,420796,0,0,
506,府,420338,0,0,
507,連続,419100,0,1,N3
508,呼ば,418889,0,0,
509,西,418262,1,1,N5
510,議員,418043,1,1,N3
511,シーズン,417758,0,0,
512,総,415766,0,1,N1
513,そう,415600,0,1,N3
514,回答,415137,0,1,N2
515,はじめまして,414811,0,0,
516,対象,413274,0,1,N3
517,路線,412257,0,0,
518,位置,412078,0,1,N3
519,なけれ,411679,0,0,
520,郵便,410048,1,1,N3
521,体,408811,1,1,N5
522,道路,408413,0,1,N3
523,いい,407974,1,0,
524,人口,407746,1,1,N4
525,押す,407360,0,1,N5
526,隣,406786,1,1,N5
527,同様,406268,0,1,N3
528,個人,406207,0,1,N3
529,行為,405452,0,1,N1
530,面,403898,1,1,N3
531,追加,403379,0,1,N2
532,館,403124,1,1,N1
533,そのもの,402046,0,0,
534,構い,401637,0,0,
535,読ん,401514,0,0,
536,馬,401044,1,1,N3
537,期間,400966,0,1,N3
538,”,400545,0,0,
539,しよ,399967,0,0,
540,せる,399965,0,0,
541,科学,398737,1,1,N4
542,ましょ,398285,0,0,
543,城,397377,1,1,N3
544,ガイド,396957,0,0,
545,転送,396691,0,0,
546,手,395963,1,1,N5
547,生,395817,1,1,N3
548,ま,393697,1,0,
549,技術,392840,0,1,N4
550,あ,392828,1,0,
551,持つ,392177,0,1,N5
552,神,390966,1,1,N3
553,作詞,390920,0,0,
554,変換,390654,0,0,
555,行う,390592,0,1,N4
556,経済,390453,1,1,N4
557,北海道,390192,0,0,
558,あれ,388003,1,0,
559,間違い,386809,0,1,N3
560,団,386523,0,0,
561,側,386221,1,1,N3
562,楽しみ,386123,0,1,N4
563,表示,385728,0,0,
564,必ず,382760,0,1,N4
565,種,382604,1,1,N3
566,閲覧,380633,0,1,N1
567,楽曲,379629,0,0,
568,ニュース,379569,1,0,
569,以外,378976,0,1,N4
570,川,378944,1,1,N3
571,再,378682,0,1,N1
572,ところ,378509,1,0,
573,隊,373124,0,0,
574,星,372251,1,1,N4
575,上部,372222,0,0,
576,メッセージ,372006,0,0,
577,とても,371262,1,0,
578,現,370865,0,0,
579,調査,370745,0,1,N3
580,計画,370652,0,1,N4
581,実り,370579,0,0,
582,勝,370562,1,0,
583,メンバー,369831,0,0,
584,多き,369748,0,0,
585,最終,369409,0,1,N3
586,新聞,368023,1,1,N5
587,同年,366484,0,0,
588,わから,366273,0,0,
589,写真,365952,0,1,N5
590,多い,365673,1,1,N5
591,表,363878,0,1,N4
592,ファースト,363677,1,0,
593,中心,363380,1,1,N3
594,改名,362046,0,0,
595,海,361841,1,1,N5
596,小説,361670,1,1,N4
597,ござい,360907,1,0,
598,女,359943,1,1,N5
599,大切,359781,0,1,N5
600,荒らし,359749,0,0,
601,タイトル,357420,0,0,
602,キャラクター,356965,1,0,
603,／,356650,0,0,
604,ステップ,356604,0,0,
605,明記,356308,0,0,
606,山,355946,1,1,N5
607,受賞,355717,0,0,
608,直し,354893,0,0,
609,“,354826,0,0,
610,歌,354518,1,1,N5
611,え,354307,1,0,
612,復帰,354163,0,0,
613,※,353866,0,0,
614,撮影,353377,0,1,N2
615,注,353327,0,1,N3
616,さらに,353139,0,0,
617,車両,352646,0,0,
618,回避,352266,0,0,
619,特定,352031,1,1,N2
620,先,350148,1,1,N5
621,新た,349892,0,1,N3
622,書,349180,1,0,
623,初心者,349071,0,0,
624,状態,348804,0,1,N3
625,トレーニング,348476,1,0,
626,法人,348429,0,0,
627,提供,348271,0,1,N1
628,間違え,347761,0,0,
629,院,347657,1,0,
630,劇場,345325,1,1,N3
631,または,345272,0,0,
632,出,344734,1,0,
633,試し,344488,0,1,N3
634,神社,343603,0,1,N4
635,予定,343570,0,1,N4
636,文,342939,0,1,N3
637,兼ね,342346,0,0,
638,例,342201,1,1,N3
639,でし,341807,0,0,
640,地区,341671,0,1,N3
641,移動,341418,0,1,N3
642,福岡,341186,0,0,
643,当該,340935,0,0,
644,に対する,340918,0,0,
645,高校,340916,1,1,N4
646,得点,340750,0,1,N1
647,年齢,339711,0,1,N3
648,報告,339613,1,1,N3
649,目次,339068,0,1,N2
650,男,338114,1,1,N5
651,頃,337886,1,1,N3
652,省,337772,0,0,
653,みなさん,337690,0,0,
654,成績,337033,0,1,N3
655,改竄,335952,0,0,
656,戦争,335405,1,1,N4
657,広島,335397,0,0,
658,攻撃,335331,1,1,N3
659,小,334516,0,1,N3
660,資料,334301,0,1,N2
661,ほど,333692,0,1,N3
662,うち,333383,0,0,
663,経,333266,0,0,
664,プロジェクト,332679,1,0,
665,ちょっとした,331336,0,0,
666,影響,331328,0,1,N3
667,建築,331228,1,1,N3
668,曖昧,331070,0,1,N1
669,場所,330130,1,1,N4
670,対応,329884,0,1,N1
671,作り上げる,329541,0,0,
672,ワンポイント,328532,0,0,
673,以前,328111,0,1,N3
674,航空,327218,0,1,N3
675,橋,326460,1,1,N5
676,字,326369,1,1,N4
677,○,326331,0,0,
678,保存,326247,0,1,N3
679,官,325664,1,0,
680,花,325411,1,1,N5
681,超,325407,1,1,N1
682,愛,325349,1,1,N3
683,最後,323908,0,1,N4
684,室,323119,1,1,N1
685,イタリア,323083,1,0,
686,台,322474,1,1,N3
687,無,321222,1,1,N3
688,国立,321149,0,1,N2
689,販売,320231,0,1,N3
690,光,319576,1,1,N4
691,協力,319259,0,1,N3
692,いたし,318617,0,0,
693,ロシア,318540,0,0,
694,両,317606,0,0,
695,横浜,317248,0,0,
696,特に,317044,0,1,N4
697,編曲,316140,0,0,
698,六,316060,1,1,N5
699,配信,315948,0,0,
700,制,315933,0,1,N1
701,注釈,315534,0,0,
702,サイズ,315327,1,0,
703,員,314860,1,1,N1
704,主義,314787,0,1,N3
705,不明,314221,0,1,N1
706,卒業,313370,0,1,N4
707,いう,312184,0,0,
708,言語,311778,1,1,N3
709,県立,311640,0,0,
710,枠,311503,0,1,N1
711,用い,311499,0,0,
712,八,311409,1,1,N5
713,掲載,310963,0,1,N1
714,統合,309076,0,1,N1
715,組織,308753,1,1,N3
716,得,308462,1,0,
717,派,308013,0,1,N1
718,営業,306907,0,1,N3
719,人間,306220,1,1,N3
720,こちら,304980,0,0,
721,備考,304562,0,0,
722,存命,304473,0,0,
723,企画,304124,0,1,N1
724,自動車,304077,0,1,N5
725,モデル,303860,0,0,
726,千,303849,1,1,N5
727,海軍,302655,0,0,
728,ありがとう,302521,1,0,
729,右,302509,1,1,N5
730,構成,301758,0,1,N3
731,公園,301484,1,1,N5
732,ご覧,301411,0,0,
733,保護,301174,1,1,N1
734,政府,300948,1,1,N3
735,今,300267,1,1,N5
736,しか,299959,0,0,
737,統計,298828,0,1,N2
738,章,298122,1,1,N3
739,愛知,297946,0,0,
740,舞台,297577,1,1,N3
741,お知らせ,296616,0,0,
742,知ら,296558,0,0,
743,最初,296439,0,1,N4
744,ち,294072,1,0,
745,韓国,293780,1,0,
746,教授,293446,0,1,N3
747,そして,293008,1,0,
748,なし,292909,0,0,
749,時点,291912,0,0,
750,列車,291552,0,1,N3
751,書い,290650,0,0,
752,百,290192,1,1,N5
753,組,289628,1,1,N3
754,条,289423,0,0,
755,理解,289209,0,1,N3
756,文庫,288704,0,0,
757,最高,288669,0,1,N3
758,所在地,288094,0,0,
759,父,287937,1,0,
760,テーマ,286915,0,0,
761,行政,286444,0,1,N1
762,完全,285779,0,1,N3
763,生活,285053,0,1,N4
764,七,285011,1,1,N5
765,設定,284652,0,1,N1
766,男子,284439,0,1,N3
767,俳優,283969,0,1,N3
768,実施,283831,0,1,N3
769,朝,282747,1,1,N5
770,研究所,282208,0,0,
771,ライブ,282005,0,0,
772,陸上,282005,0,0,
773,空港,281699,1,1,N4
774,率,280567,0,1,N3
775,専門,280162,0,0,
776,グランプリ,280102,0,0,
777,特筆,279462,0,0,
778,物語,279306,0,1,N3
779,枚,279148,1,1,N1
780,主要,279102,0,1,N3
781,独立,278956,1,1,N3
782,建設,278027,1,1,N3
783,娘,277392,1,1,N4
784,正,277039,0,1,N3
785,森,276754,1,1,N4
786,未,276600,0,1,N1
787,音,275875,1,1,N4
788,しまう,275083,0,1,N3
789,生年月日,274108,0,1,N2
790,校,273646,1,1,N1
791,通常,272612,0,1,N1
792,発生,272356,0,1,N1
793,群,272078,0,1,N1
794,目的,272056,1,1,N3
795,獲得,272049,0,1,N1
796,全て,270874,0,1,N3
797,源,270717,0,1,N1
798,向け,270636,0,1,N1
799,国道,270239,0,0,
800,公,269544,0,1,N1
801,女優,269474,0,1,N3
802,一方,269204,0,1,N3
803,就任,269160,0,1,N2
804,年間,268447,0,1,N3
805,風,268238,1,1,N5
806,件,267834,1,1,N1
807,かも,266853,0,0,
808,提出,266666,0,1,N3
809,反対,266575,0,1,N4
810,連合,265844,0,1,N2
811,学者,265673,1,1,N3
812,本社,265400,0,0,
813,解説,264855,0,1,N2
814,祭,264616,0,1,N3
815,新潟,264115,0,0,
816,務め,263621,0,1,N3
817,わ,263600,1,0,
818,それぞれ,263476,0,0,
819,分類,263225,0,1,N2
820,一つ,262914,0,1,N5
821,ちゃん,262537,0,0,
822,千葉,262533,0,0,
823,判断,262516,1,1,N3
824,デビュー,262510,0,0,
825,団体,262317,0,1,N3
826,宇宙,260514,1,1,N3
827,投票,259534,0,1,N3
828,かつて,259421,0,0,
829,戦闘,259395,0,1,N1
830,アジア,259245,0,0,
831,当初,259216,0,0,
832,財団,259112,0,0,
833,重,258724,1,1,N1
834,指摘,258720,0,1,N1
835,じ,257782,1,0,
836,これら,257031,0,0,
837,と共に,256858,0,0,
838,億,256480,1,1,N4
839,鈴木,255823,0,0,
840,サービス,255519,1,0,
841,とも,254500,1,0,
842,之,253844,0,0,
843,年月日,253658,0,0,
844,生まれ,253619,0,1,N3
845,佐藤,252753,0,0,
846,製造,252028,0,1,N3
847,電車,252019,1,1,N5
848,副,251922,0,1,N1
849,外,251483,1,1,N5
850,複数,251311,0,1,N2
851,構造,251237,0,1,N2
852,思わ,251117,0,0,
853,デザイン,250923,0,0,
854,雑誌,250784,1,1,N5
855,限定,250760,0,1,N1
856,発行,250061,0,1,N3
857,帝国,249973,0,0,
858,原作,249958,0,1,N1
859,とともに,249528,0,0,
860,論,249385,0,0,
861,重要,249262,1,1,N3
862,事務所,248682,0,1,N4
863,文字,248657,0,1,N3
864,脚本,248395,0,1,N1
865,評価,247031,0,1,N3
866,心,246963,1,1,N4
867,票,246920,1,1,N1
868,病院,246872,1,1,N5
869,状況,246746,1,1,N3
870,競馬,246379,0,1,N2
871,ダム,246140,0,0,
872,持っ,245478,0,0,
873,行,245228,1,1,N1
874,契約,245217,0,1,N3
875,国内,245099,0,0,
876,良い,244937,1,1,N1
877,警察,243766,1,1,N4
878,寺,243178,1,1,N4
879,対,243112,0,1,N3
880,こ,243009,1,0,
881,戦い,242841,1,1,N3
882,独自,242694,0,1,N1
883,こう,242640,1,0,
884,データ,242169,1,0,
885,主張,241940,0,1,N3
886,☆,241797,0,0,
887,誌,241661,0,0,
888,スーパー,241452,1,0,
889,藩,241353,0,0,
890,り,240979,1,0,
891,バンド,240957,1,0,
892,真,240684,0,0,
893,埼玉,240324,0,0,
894,言葉,240099,0,1,N5
895,夏,240081,1,1,N5
896,映像,239099,0,1,N1
897,実際,238803,0,1,N3
898,いく,238686,0,0,
899,付,238566,0,0,
900,公演,238126,0,1,N1
901,含む,238077,0,1,N3
902,イベント,237471,1,0,
903,項,237119,0,0,
904,フジテレビ,237071,0,0,
905,達,237049,0,0,
906,よろしく,236846,0,1,N3
907,リリース,236366,0,0,
908,師,236039,1,0,
909,最大,235784,0,0,
910,代目,235747,0,0,
911,アップ,235588,0,0,
912,量,235420,1,1,N3
913,マン,235340,0,0,
914,運営,235271,0,1,N1
915,運動,234701,1,1,N4
916,表現,234537,1,1,N3
917,田中,234428,1,0,
918,彼女,234418,1,1,N4
919,街,233324,1,1,N3
920,家族,233287,1,1,N5
921,訳,233059,1,1,N4
922,米,232682,1,1,N4
923,ノ,232158,0,0,
924,ログイン,231898,0,0,
925,履歴,231588,0,1,N1
926,会議,230629,0,1,N4
927,圏,230423,0,1,N1
928,石,230422,1,1,N4
929,現代,230293,1,1,N3
930,神奈川,229958,0,0,
931,面積,229781,0,1,N2
932,事実,229467,0,1,N3
933,使わ,229396,0,0,
934,文学,229251,1,1,N4
935,ヨーロッパ,229223,1,0,
936,着,229024,1,1,N1
937,基礎,227998,0,1,N2
938,ゆう,227632,1,0,
939,少年,227305,1,1,N3
940,運行,227146,0,0,
941,どの,227137,0,0,
942,高い,226348,1,1,N5
943,翻訳,226193,1,1,N4
944,行い,226043,0,1,N1
945,様,225740,1,1,N3
946,生産,225280,1,1,N4
947,士,224966,1,0,
948,すべて,224944,0,0,
949,相手,224925,0,1,N3
950,船,224858,1,1,N3
951,合併,224638,0,1,N1
952,無い,224293,0,0,
953,山口,224202,0,0,
954,作っ,224080,0,0,
955,詳細,223945,0,1,N1
956,開業,223910,0,0,
957,夢,223900,1,1,N4
958,電気,223689,0,1,N5
959,福島,223497,0,0,
