Rank;Lemma;Occurrences
691;協力;319259
692;いたし;318617
693;ロシア;318540
694;両;317606
695;横浜;317248
696;特に;317044
697;編曲;316140
698;六;316060
699;配信;315948
700;制;315933
701;注釈;315534
702;サイズ;315327
703;員;314860
704;主義;314787
705;不明;314221
706;卒業;313370
707;いう;312184
708;言語;311778
709;県立;311640
710;枠;311503
711;用い;311499
712;八;311409
713;掲載;310963
714;統合;309076
715;組織;308753
716;得;308462
717;派;308013
718;営業;306907
719;人間;306220
720;こちら;304980
721;備考;304562
722;存命;304473
723;企画;304124
724;自動車;304077
725;モデル;303860
726;千;303849
727;海軍;302655
728;ありがとう;302521
729;右;302509
730;構成;301758
731;公園;301484
732;ご覧;301411
733;保護;301174
734;政府;300948
735;今;300267
736;しか;299959
737;統計;298828
738;章;298122
739;愛知;297946
740;舞台;297577
741;お知らせ;296616
742;知ら;296558
743;最初;296439
744;ち;294072
745;韓国;293780
746;教授;293446
747;そして;293008
748;なし;292909
749;時点;291912
750;列車;291552
751;書い;290650
752;百;290192
753;組;289628
754;条;289423
755;理解;289209
756;文庫;288704
757;最高;288669
758;所在地;288094
759;父;287937
760;テーマ;286915
761;行政;286444
762;完全;285779
763;生活;285053
764;七;285011
765;設定;284652
766;男子;284439
767;俳優;283969
768;実施;283831
769;朝;282747
770;研究所;282208
771;ライブ;282005
772;陸上;282005
773;空港;281699
774;率;280567
775;専門;280162
776;グランプリ;280102
777;特筆;279462
778;物語;279306
779;枚;279148
780;主要;279102
781;独立;278956
782;建設;278027
783;娘;277392
784;正;277039
785;森;276754
786;未;276600
787;音;275875
788;しまう;275083
789;生年月日;274108
790;校;273646
791;通常;272612
792;発生;272356
793;群;272078
794;目的;272056
795;獲得;272049
796;全て;270874
797;源;270717
798;向け;270636
799;国道;270239
800;公;269544
801;女優;269474
802;一方;269204
803;就任;269160
804;年間;268447
805;風;268238
806;件;267834
807;かも;266853
808;提出;266666
809;反対;266575
810;連合;265844
811;学者;265673
812;本社;265400
813;解説;264855
814;祭;264616
815;新潟;264115
816;務め;263621
817;わ;263600
818;それぞれ;263476
819;分類;263225
820;一つ;262914
821;ちゃん;262537
822;千葉;262533
823;判断;262516
824;デビュー;262510
825;団体;262317
826;宇宙;260514
827;投票;259534
828;かつて;259421
829;戦闘;259395
830;アジア;259245
831;当初;259216
832;財団;259112
833;重;258724
834;指摘;258720
835;じ;257782
836;これら;257031
837;と共に;256858
838;億;256480
839;鈴木;255823
840;サービス;255519
841;とも;254500
842;之;253844
843;年月日;253658
844;生まれ;253619
845;佐藤;252753
846;製造;252028
847;電車;252019
848;副;251922
849;外;251483
850;複数;251311
851;構造;251237
852;思わ;251117
853;デザイン;250923
854;雑誌;250784
855;限定;250760
856;発行;250061
857;帝国;249973
858;原作;249958
859;とともに;249528
860;論;249385
861;重要;249262
862;事務所;248682
863;文字;248657
864;脚本;248395
865;評価;247031
866;心;246963
867;票;246920
868;病院;246872
869;状況;246746
870;競馬;246379
871;ダム;246140
872;持っ;245478
873;行;245228
874;契約;245217
875;国内;245099
876;良い;244937
877;警察;243766
878;寺;243178
879;対;243112
880;こ;243009
881;戦い;242841
882;独自;242694
883;こう;242640
884;データ;242169
885;主張;241940
886;☆;241797
887;誌;241661
888;スーパー;241452
889;藩;241353
890;り;240979
891;バンド;240957
892;真;240684
893;埼玉;240324
894;言葉;240099
895;夏;240081
896;映像;239099
897;実際;238803
898;いく;238686
899;付;238566
900;公演;238126
901;含む;238077
902;イベント;237471
903;項;237119
904;フジテレビ;237071
905;達;237049
906;よろしく;236846
907;リリース;236366
908;師;236039
909;最大;235784
910;代目;235747
911;アップ;235588
912;量;235420
913;マン;235340
914;運営;235271
915;運動;234701
916;表現;234537
917;田中;234428
918;彼女;234418
919;街;233324
920;家族;233287
921;訳;233059
922;米;232682
923;ノ;232158
924;ログイン;231898
925;履歴;231588
926;会議;230629
927;圏;230423
928;石;230422
929;現代;230293
930;神奈川;229958
931;面積;229781
932;事実;229467
933;使わ;229396
934;文学;229251
935;ヨーロッパ;229223
936;着;229024
937;基礎;227998
938;ゆう;227632
939;少年;227305
940;運行;227146
941;どの;227137
942;高い;226348
943;翻訳;226193
944;行い;226043
945;様;225740
946;生産;225280
947;士;224966
948;すべて;224944
949;相手;224925
950;船;224858
951;合併;224638
952;無い;224293
953;山口;224202
954;作っ;224080
955;詳細;223945
956;開業;223910
957;夢;223900
958;電気;223689
959;福島;223497
960;環境;223287
961;非;222877
962;全体;222229
963;高速;221888
964;ネット;221684
965;段;221461
966;国家;221461
967;江戸;221201
968;分割;220980
969;競走;220812
970;まま;220363
971;地名;220052
972;盤;219834
973;大正;219735
974;国籍;219613
975;採用;219458
976;静岡;219237
977;長野;218979
978;図;218581
979;気;218247
980;通信;218066
981;いただき;217889
982;行動;217849
983;勝利;217650
984;わけ;217634
985;発見;217131
986;初代;217028
987;スペイン;216932
988;社長;216222
989;種類;216177
990;能力;216096
991;妻;215992
992;ほう;215572
993;母;215394
994;学園;215370
995;通;215300
996;英;215071
997;支援;214721
998;登録;214272
999;編成;213903
1000;共同;213607
1001;港;213573
1002;経営;213508
1003;ものの;213418
1004;夜;213111
1005;身長;213076
1006;対処;213004
1007;統一;212662
1008;指導;212661
1009;学会;212508
1010;主演;211856
1011;認め;211524
1012;コード;211519
1013;設計;211130
1014;定義;210687
1015;共和;210659
1016;連邦;210620
1017;岡山;210364
1018;やめ;210288
1019;神戸;209715
1020;る;209423
1021;基;209345
1022;中村;209205
1023;陸軍;209135
1024;〈;208827
1025;太;208779
1026;といった;208627
1027;指揮;208445
1028;検証;208376
1029;入り;207718
1030;回戦;207334
1031;国民;206906
1032;言う;206607
1033;運転;206362
1034;更新;206340
1035;党;206279
1036;別名;206013
1037;春;205819
1038;エンジン;205562
1039;部隊;204516
1040;加筆;204380
1041;初めて;204262
1042;屋;204017
1043;原;203890
1044;思っ;203804
1045;デジタル;203730
1046;大臣;203567
1047;兵庫;203159
1048;山田;203080
1049;使う;203073
1050;衆議院;203058
1051;観光;202746
1052;聖;202345
1053;解除;202296
1054;平;202109
1055;最も;201727
1056;大統領;201428
1057;－;201162
1058;作家;200889
1059;賛成;200831
1060;自治体;200829
1061;芸術;200748
1062;加え;200745
1063;，;200591
1064;完成;200491
1065;正式;200208
1066;天;200182
1067;時期;199932
1068;系列;199771
1069;族;199730
1070;男性;199538
1071;上記;199236
1072;形式;199205
1073;丸;199177
1074;いっ;199163
1075;〉;199153
1076;類;199100
1077;高橋;198856
1078;要;198679
1079;郎;198625
1080;非常;198512
1081;誕生;198481
1082;本人;198446
1083;岐阜;198292
1084;声優;198234
1085;あるいは;198046
1086;週間;197877
1087;プロデューサー;197599
1088;九;197525
1089;葉;196583
1090;しれ;196492
1091;特徴;195671
1092;少女;195660
1093;付け;195651
1094;産業;194276
1095;方面;194259
1096;信頼;194182
1097;階;194080
1098;図書館;193698
1099;観点;193452
1100;誰;193412
1101;頭;193268
1102;スペシャル;193250
1103;与え;192871
1104;ほとんど;192470
1105;左;192329
1106;導入;192202
1107;死亡;191958
1108;アイドル;191840
1109;当;191833
1110;｜;191566
1111;部門;191449
1112;林;191163
1113;歌手;190862
1114;沖縄;190626
1115;子供;190422
1116;会長;190374
1117;姿;190282
1118;述べ;189965
1119;王国;189763
1120;ひ;189685
1121;結婚;189660
1122;疑問;189178
1123;決勝;189137
1124;専用;188836
1125;演出;188543
1126;事故;188516
1127;門;188483
1128;ロック;188249
1129;言わ;188153
1130;医療;188095
1131;オリコン;188065
1132;熊本;187744
1133;リスト;187606
1134;異なる;187277
1135;座;187174
1136;感じ;187025
1137;経歴;186970
1138;内閣;186761
1139;カード;186570
1140;搭載;186558
1141;中立;186428
1142;周辺;186393
1143;作戦;186335
1144;連盟;186262
1145;教会;186239
1146;再び;185729
1147;ファン;185659
1148;自然;185558
1149;選出;185210
1150;オリジナル;185165
1151;大きな;185160
1152;市町村;185140
1153;マーク;185029
1154;ニューヨーク;184977
1155;今回;184709
1156;ケース;184181
1157;堂;183932
1158;日本テレビ;183837
1159;テレビ朝日;183748
1160;ルール;183510
1161;制度;183425
1162;本名;183393
1163;世帯;182753
1164;里;182218
1165;地理;182217
1166;始め;182163
1167;ホーム;182147
1168;不;181973
1169;製;181832
1170;鹿児島;181604
1171;連絡;181604
1172;見る;181257
1173;言っ;181160
1174;出し;181099
1175;龍;181085
1176;程度;180970
1177;明;180941
1178;いずれ;180906
1179;基準;180901
1180;理事;180878
1181;ポジション;180511
1182;ガン;180457
1183;そこ;180409
1184;合意;180259
1185;運用;180195
1186;ユーザー;180085
1187;多数;179956
1188;札幌;179951
1189;君;179894
1190;周年;179824
1191;区間;179659
1192;地球;179273
1193;レース;179165
1194;口;179091
1195;く;178905
1196;ベスト;178784
1197;入力;178563
1198;普通;178553
1199;候補;178449
1200;よい;178300
1201;計;178249
1202;ビル;178155
1203;秋田;177968
1204;長崎;177649
1205;組合;177487
1206;死去;177320
1207;事項;176990
1208;オープン;176925
1209;愛称;176803
1210;アナウンサー;176763
1211;含ま;176709
1212;台湾;176482
1213;生物;176248
1214;方式;175798
1215;個;175734
1216;路;175598
1217;各国;175401
1218;辞典;175360
1219;労働;175283
1220;動物;175151
1221;地図;175031
1222;大戦;175029
1223;１;174994
1224;吉田;174627
1225;系統;174540
1226;かつ;174480
1227;移籍;173997
1228;弾;173808
1229;為;173640
1230;小林;173529
1231;分野;173245
1232;のち;173155
1233;成立;173139
1234;再度;173139
1235;美術;173125
1236;好き;172965
1237;恋;172925
1238;山本;172874
1239;テスト;172661
1240;課;172613
1241;市民;172482
1242;本部;172194
1243;博士;172110
1244;品;172043
1245;ローマ;171998
1246;整備;171936
1247;杯;171892
1248;来;171648
1249;記;171357
1250;血液;171231
1251;石川;171171
1252;博物館;170283
1253;存続;169971
1254;属;169761
1255;メイン;169686
1256;コミュニティ;169664
1257;九州;169650
1258;引退;169615
1259;ソフト;169559
1260;もと;169521
1261;説;169434
1262;中継;169342
1263;ゲスト;169265
1264;古い;169227
1265;レコード;169136
1266;展開;168964
1267;ただ;168858
1268;全日本;168789
1269;ステージ;168720
1270;仙台;168505
1271;期限;168383
1272;赤;168231
1273;工業;168083
1274;ふ;167982
1275;美;167900
1276;工場;167859
1277;初期;167506
1278;朝鮮;167223
1279;挙げ;167091
1280;明らか;166823
1281;背番号;166400
1282;伊藤;166271
1283;カップ;166095
1284;範囲;165920
1285;議会;165696
1286;伴い;165309
1287;装置;165157
1288;講談社;165041
1289;よる;164989
1290;準;164822
1291;松本;164385
1292;ごと;164373
1293;求め;164121
1294;ぶり;163912
1295;清;163843
1296;スタッフ;163764
1297;活躍;163682
1298;かけ;163675
1299;成功;163569
1300;ミュージック;163497
1301;入っ;163323
1302;太郎;163090
1303;形成;162905
1304;改善;162865
1305;自動;162820
1306;即時;162560
1307;白;162369
1308;ロード;162214
1309;主人公;162177
1310;様々;162161
1311;スター;162120
1312;チャンネル;162086
1313;界;161715
1314;アカデミー;161700
1315;ホール;161684
1316;自ら;161484
1317;安全;161377
1318;富山;161029
1319;スタジオ;161014
1320;試験;160936
1321;コーナー;160851
1322;おら;160735
1323;限り;160696
1324;自動的;160673
1325;もしくは;160464
1326;人気;160345
1327;に対し;160160
1328;由来;159898
1329;報道;159479
1330;外国;159373
1331;日付;159315
1332;実;159226
1333;法律;158877
1334;改正;158801
1335;器;158592
1336;じゃ;158572
1337;著名;158547
1338;亜;158537
1339;同時に;158484
1340;にかけて;158458
1341;検索;158367
1342;関東;158287
1343;くる;158261
1344;順位;157914
1345;空;157861
1346;値;157661
1347;自体;157590
1348;該当;157441
1349;敗;157352
1350;宣伝;157185
1351;取得;156967
1352;宗;156890
1353;敵;156474
1354;ジャンル;155804
1355;ほぼ;155789
1356;伝説;155691
1357;学科;155085
1358;加藤;155061
1359;渡辺;155015
1360;―;154944
1361;ジョン;154782
1362;技;154780
1363;含め;154615
1364;コンピュータ;154601
1365;てる;154540
1366;銀行;154346
1367;ソング;154216
1368;メディア;154165
1369;流;154134
1370;思う;154025
1371;武;153995
1372;兵;153892
1373;座標;153703
1374;青;153616
1375;効果;153238
1376;国鉄;153155
1377;帯;152886
1378;つけ;152485
1379;緯度;152435
1380;予選;152430
1381;都道府県;152415
1382;演奏;152369
1383;黒;152357
1384;回数;152215
1385;ボタン;152086
1386;電子;151938
1387;批判;151795
1388;ワールド;151702
1389;工事;151656
1390;題材;151650
1391;距離;151633
1392;機構;151604
1393;ゆ;151418
1394;温泉;151287
1395;大学院;151221
1396;２;150767
1397;沿革;150653
1398;エピソード;150532
1399;姫;150524
1400;伝;150223
1401;取締役;150215
1402;植物;150180
1403;元年;150069
1404;奈良;149985
1405;ベース;149983
1406;茨城;149868
1407;＆;149772
1408;結成;149723
1409;体重;149621
1410;経度;149564
1411;改称;149424
1412;死;149332
1413;書籍;149282
1414;民族;149245
1415;アーカイブ;149243
1416;文化財;148753
1417;号線;148710
1418;刑事;148562
1419;業務;148509
1420;仕事;148485
1421;市場;148445
1422;条件;148360
1423;処理;148291
1424;プレビュー;148268
1425;発展;148212
1426;砲;147999
1427;順;147692
1428;劇;147378
1429;大きく;146920
1430;電話;146911
1431;経験;146829
1432;業;146705
1433;しまい;146549
1434;検討;146271
1435;変化;146170
1436;連載;146108
1437;天皇;145949
1438;料理;145865
1439;飛行;145439
1440;日本人;145407
1441;地震;145211
1442;案;145161
1443;通算;145130
1444;良;145011
1445;ラグビー;144963
1446;末;144909
1447;著;144637
1448;ロンドン;144566
1449;和;144481
1450;職業;144455
1451;用語;144450
1452;立;144334
1453;除い;144078
1454;歴;144075
1455;欄;143906
1456;名義;143549
1457;インド;143331
1458;クラス;143305
1459;李;143249
1460;性格;143238
1461;規模;143234
1462;全く;143218
1463;ツアー;143159
1464;スケート;143149
1465;例えば;143147
1466;教員;143008
1467;致し;142768
1468;め;142694
1469;徳島;142686
1470;店舗;142637
1471;坂;142433
1472;商業;142419
1473;記入;142368
1474;新設;142368
1475;政策;142146
1476;大分;141846
1477;介;141773
1478;画;141141
1479;宗教;141118
1480;現状;140448
1481;根拠;140222
1482;秋;140148
1483;示し;140014
1484;ライセンス;139982
1485;平均;139860
1486;メーカー;139854
1487;宮;139620
1488;桜;139523
1489;度度;139424
1490;空間;139323
1491;井上;139308
1492;パリ;139219
1493;旅;139213
1494;清水;139118
1495;半;139104
1496;人員;138975
1497;障害;138780
1498;示す;138578
1499;使い;138573
1500;方向;138422
1501;一度;138384
1502;コース;138335
1503;名誉;138300
1504;そのまま;138152
1505;宮城;137895
1506;装備;137631
1507;適切;137553
1508;週刊;137421
1509;令和;137288
1510;輸送;137173
1511;タイ;137030
1512;魔;136955
1513;移行;136870
1514;ワールドカップ;136595
1515;逆;136374
1516;とか;136257
1517;強い;136160
1518;ろ;136076
1519;乗車;135991
1520;初版;135931
1521;支持;135836
1522;書き換え;135587
1523;航空機;135460
1524;もう;135423
1525;息子;135311
1526;製品;135262
1527;従来;135224
1528;入れ;135056
1529;カナダ;135040
1530;出来;135026
1531;領;135010
1532;’;134972
1533;メートル;134953
1534;ログ;134931
1535;文書;134855
1536;以来;134772
1537;ツール;134600
1538;宮崎;133825
1539;王座;133760
1540;おき;133752
1541;ビデオ;133671
1542;バレーボール;133489
1543;状;133477
1544;タイプ;133432
1545;症;133244
1546;主題歌;132914
1547;違い;132615
1548;まだ;132270
1549;延長;132156
1550;一環;132136
1551;区分;132065
1552;仁;131982
1553;足;131967
1554;軌道;131835
1555;単位;131797
1556;防衛;131700
1557;トップ;131681
1558;開設;131658
1559;魔法;131535
1560;得る;131402
1561;命;131397
1562;福井;131373
1563;殺人;131286
1564;夫;131205
1565;司令;131156
1566;青森;131120
1567;投手;131011
1568;僕;130771
1569;タグ;130745
1570;実行;130647
1571;直接;130436
1572;レギュラー;130358
1573;商品;130340
1574;継承;130264
1575;紀元前;130254
1576;歴代;130014
1577;お笑い;129992
1578;申し訳;129578
1579;新宿;129492
1580;安;129434
1581;園;129295
1582;近代;129076
1583;フリー;129009
1584;途中;128933
1585;どこ;128820
1586;東日本;128675
1587;選;128670
1588;インターネット;128663
1589;拡大;128487
1590;チャート;128234
1591;東京大学;128073
1592;精神;128052
1593;移転;127930
1594;戦士;127844
1595;谷;127804
1596;あまり;127750
1597;対戦;127303
1598;幅;127145
